Time (s),Pressure (mmHg)
5.5731635093688965,7.7
5.622299432754517,7.8
5.671963930130005,7.9
5.721250534057617,7.96
5.770406246185303,7.99
5.819857597351074,8.01
5.869335651397705,8.01
5.918330907821655,8.01
5.967652320861816,8.04
6.016992092132568,8.12
6.06644606590271,8.21
6.116101503372192,8.33
6.165241479873657,8.48
6.214712381362915,8.62
6.264200210571289,8.75
6.313577651977539,8.89
6.362865686416626,9.02
6.411860466003418,9.16
6.461338043212891,9.29
6.510493755340576,9.43
6.559885025024414,9.57
6.609189510345459,9.71
6.658587455749512,9.85
6.707777976989746,9.99
6.757325649261475,10.13
6.8073999881744385,10.28
6.855964660644531,10.42
6.905920505523682,10.57
6.954977512359619,10.71
7.004032850265503,10.86
7.053631782531738,11.0
7.102643966674805,11.15
7.152423620223999,11.3
7.202347755432129,11.45
7.251163005828857,11.61
7.300322771072388,11.78
7.34944748878479,11.95
7.398559093475342,12.12
7.447906017303467,12.3
7.497305393218994,12.47
7.54655122756958,12.65
7.596273899078369,12.83
7.645514488220215,13.03
7.6947715282440186,13.22
7.744445323944092,13.42
7.793309688568115,13.63
7.842801809310913,13.84
7.892120122909546,14.06
7.941343069076538,14.34
7.99060845375061,14.6
8.039870977401733,14.78
8.089665651321411,14.97
8.138925790786743,15.15
8.188462972640991,15.29
8.237975120544434,15.46
8.286884307861328,15.72
8.336349487304688,15.99
8.385206937789917,16.25
8.434630632400513,16.51
8.484304666519165,16.78
8.53370714187622,17.04
8.583009719848633,17.31
8.632421493530273,17.58
8.681859731674194,17.85
8.73157024383545,18.11
8.780593156814575,18.37
8.829454898834229,18.63
8.878713607788086,18.9
8.928372144699097,19.16
8.977391481399536,19.44
9.02688193321228,19.73
9.076024055480957,20.02
9.125823020935059,20.32
9.175256729125977,20.62
9.224520921707153,20.93
9.273927927017212,21.24
9.3231942653656,21.55
9.37226939201355,21.88
9.421465158462524,22.22
9.470921516418457,22.52
9.52010726928711,22.73
9.569495439529419,22.88
9.619142293930054,23.06
9.668650388717651,23.29
9.717858076095581,23.6
9.767111778259277,23.99
9.816487789154053,24.39
9.865618705749512,24.75
9.914879083633423,25.1
9.964152574539185,25.46
10.013489723205566,25.85
10.063222169876099,26.32
10.112423181533813,26.8
10.162237644195557,27.27
10.211527109146118,27.71
10.26061487197876,28.17
10.310025453567505,28.64
10.359564304351807,29.11
10.408607959747314,29.58
10.457907915115356,30.05
10.50783395767212,30.52
10.556670427322388,30.99
10.60607099533081,31.45
10.655495643615723,31.93
10.704737663269043,32.43
10.754245519638062,32.93
10.803537368774414,33.44
10.85296082496643,33.96
10.902051210403442,34.47
10.95129656791687,34.97
11.000922679901123,35.47
11.05000352859497,35.95
11.099509477615356,36.44
11.149005651473999,36.94
11.198278903961182,37.46
11.247610807418823,38.0
11.296824216842651,38.56
11.346206426620483,39.13
11.395479679107666,39.71
11.444921731948853,40.28
11.494334936141968,40.86
11.543542861938477,41.44
11.593058109283447,42.0
11.642310619354248,42.55
11.691876888275146,43.11
11.741294145584106,43.66
11.790520906448364,44.21
11.839712381362915,44.78
11.889092922210693,45.37
11.938407182693481,45.95
11.987534523010254,46.54
12.03756070137024,47.14
12.08665919303894,47.74
12.13579273223877,48.35
12.185175657272339,48.97
12.234610795974731,49.62
12.283973693847656,50.3
12.332729816436768,50.98
12.382586002349854,51.67
12.43189811706543,52.37
12.481074810028076,53.06
12.530301332473755,53.72
12.579810380935669,54.39
12.628989219665527,55.05
12.678518295288086,55.73
12.728190660476685,56.41
12.77768850326538,57.11
12.826056003570557,57.81
12.876222610473633,58.51
12.925793647766113,59.2
12.974800109863281,59.89
13.02388048171997,60.59
13.073054552078247,61.32
13.122229099273682,62.08
13.171725749969482,62.83
13.220916032791138,63.58
13.270673036575317,64.31
13.319897890090942,65.02
13.369219779968262,65.71
13.418770551681519,66.42
13.46770691871643,67.14
13.516916990280151,67.88
13.566132068634033,68.6
13.615332841873169,69.32
13.664591789245605,70.03
13.71407437324524,70.72
13.763691663742065,71.37
13.812881231307983,72.02
13.862217903137207,72.76
13.911717891693115,73.51
13.961126327514648,74.28
14.010409355163574,75.09
14.05982780456543,75.89
14.108970642089844,76.62
14.158071994781494,77.34
14.20764422416687,78.06
14.257392406463623,78.8
14.306873798370361,79.54
14.355505466461182,80.27
14.405331134796143,81.0
14.454213857650757,81.72
14.503583431243896,82.43
14.552888631820679,83.14
14.602512121200562,83.89
14.652050971984863,84.73
14.701693773269653,85.63
14.750605821609497,86.54
14.80028772354126,87.44
14.848923683166504,88.28
14.898250341415405,89.02
14.947916030883789,89.7
14.997187376022339,90.36
15.046589374542236,91.03
15.095798254013062,91.7
15.145207643508911,92.39
15.194425106048584,93.08
15.243821144104004,93.78
15.29331922531128,94.48
15.34243130683899,95.19
15.392030477523804,95.9
15.441187620162964,96.62
15.490737438201904,97.39
15.539921522140503,98.23
15.5893235206604,99.07
15.638696193695068,99.9
15.688033103942871,100.71
15.737362623214722,101.44
15.786597967147827,102.1
15.836007833480835,102.77
15.885485410690308,103.45
15.934947729110718,104.16
15.98407506942749,104.9
16.033467531204224,105.65
16.082664489746094,106.41
16.13213300704956,107.18
16.181525468826294,107.95
16.230863332748413,108.73
16.279818296432495,109.52
16.329230785369873,110.32
16.37917685508728,111.16
16.42859435081482,112.03
16.478004217147827,112.87
16.666404247283936,113.68
16.666903257369995,114.48
16.667182683944702,115.24
16.674461841583252,115.99
16.72368359565735,116.76
16.773319721221924,117.55
16.823038816452026,118.36
16.87212562561035,119.15
16.921506643295288,119.95
16.97078585624695,120.74
17.019991874694824,121.54
17.069517135620117,122.33
17.118700742721558,123.15
17.16806650161743,123.99
17.21730351448059,124.85
17.266720294952393,125.68
17.31588053703308,126.51
17.36517882347107,127.31
17.414475917816162,128.09
17.463881731033325,128.87
17.5134334564209,129.66
17.562773942947388,130.46
17.612152099609375,131.25
17.66154932975769,132.04
17.71067190170288,132.82
17.759995460510254,133.6
17.80924367904663,134.38
17.858508586883545,135.16
17.908069849014282,135.96
17.95727849006653,136.78
18.006994485855103,137.6
18.05597448348999,138.4
18.10526180267334,139.2
18.154699325561523,139.99
18.203977584838867,140.75
18.25332283973694,141.51
18.302671432495117,142.29
18.3520987033844,143.06
18.401352643966675,143.84
18.450681447982788,144.61
18.49999189376831,145.38
18.549219608306885,146.14
18.59865140914917,146.9
18.647903442382812,147.67
18.697361707687378,148.44
18.74644660949707,149.22
18.796058893203735,150.01
18.84524369239807,150.82
18.894550561904907,151.63
18.94379734992981,152.43
18.993576526641846,153.22
19.04246687889099,153.99
19.0919189453125,154.75
19.141263246536255,155.5
19.190409421920776,156.26
19.240212202072144,157.02
19.28916597366333,157.78
19.338483810424805,158.54
19.38788938522339,159.29
19.43744444847107,160.05
19.48710036277771,160.8
19.53665542602539,161.56
19.585402727127075,162.32
19.634505033493042,163.1
19.68403458595276,163.89
19.733410835266113,164.67
19.782990217208862,165.45
19.832241773605347,166.23
19.881808757781982,166.99
19.931186199188232,167.74
19.9800386428833,168.5
20.029378652572632,169.26
20.078489303588867,170.02
20.128533124923706,170.78
20.17762017250061,171.54
20.226879119873047,172.3
20.276264429092407,173.05
20.32539963722229,173.75
20.3744957447052,174.28
20.424330711364746,174.67
20.473822355270386,174.91
21.52244210243225,175.0
21.533912658691406,174.89
21.583202123641968,174.63
21.632859706878662,172.21
21.681760549545288,170.56
21.731223106384277,169.2
21.780885934829712,167.95
21.830308437347412,166.87
21.879596948623657,167.94
21.929020643234253,168.22
21.978406190872192,167.8
22.02791976928711,163.96
22.076980590820312,161.86
22.12647032737732,160.07
22.176849126815796,158.33
22.224678993225098,157.02
22.273850679397583,159.13
22.323587894439697,159.5
22.372684240341187,159.2
22.422352075576782,155.64
22.47150754928589,153.72
22.520735263824463,152.12
22.570229053497314,150.55
22.62011194229126,149.36
22.66885542869568,151.41
22.717697381973267,151.84
22.767196893692017,151.65
22.816486597061157,148.39
22.865782737731934,146.68
22.91556143760681,145.25
22.96494150161743,143.84
23.014080047607422,142.76
23.06355118751526,144.73
23.112520933151245,145.15
23.16201114654541,144.98
23.211121797561646,141.86
23.260616302490234,140.21
23.31003475189209,138.84
23.359262228012085,137.5
23.40915036201477,136.48
23.45828413963318,138.4
23.507793188095093,138.84
23.557265281677246,138.7
23.6059832572937,135.68
23.655325174331665,134.11
23.70456624031067,132.83
23.753944635391235,131.58
23.80380344390869,130.64
23.85326099395752,132.55
23.90191388130188,133.01
23.952157974243164,132.89
24.001169681549072,130.06
24.050522089004517,128.58
24.09979796409607,127.36
24.148834943771362,126.17
24.198068618774414,125.27
24.24791693687439,127.07
24.29672145843506,127.51
24.346107482910156,127.43
24.39536213874817,124.74
24.444802284240723,123.35
24.494053602218628,122.23
24.543845891952515,121.15
24.593055486679077,120.34
24.642120122909546,122.1
24.69184947013855,122.56
24.741162538528442,122.47
24.790881633758545,119.83
24.839969873428345,118.45
24.88931107521057,117.31
24.93852162361145,116.2
24.987972497940063,115.38
25.037672758102417,117.07
25.08661198616028,117.52
25.135757207870483,117.47
25.184895038604736,115.01
25.234630584716797,113.74
25.28465986251831,112.72
25.333369970321655,111.77
25.38288974761963,111.09
25.431877613067627,112.77
25.481448650360107,113.24
25.53107786178589,113.22
25.57998037338257,110.84
25.629411458969116,109.57
25.678661108016968,108.53
25.72779417037964,107.54
25.777583122253418,106.79
25.82626509666443,108.34
25.875957012176514,108.77
25.924970388412476,108.76
25.974382877349854,106.51
26.024173259735107,105.33
26.073246240615845,104.36
26.12307095527649,103.45
26.172626972198486,102.83
26.221620321273804,104.45
26.270243644714355,104.97
26.319937229156494,105.02
26.369566440582275,102.85
26.41860556602478,101.67
26.467869997024536,100.66
26.51708745956421,99.7
26.566789627075195,99.0
26.615824222564697,100.45
26.665313005447388,100.85
26.71464776992798,100.84
26.763944625854492,98.75
26.813061714172363,97.64
26.862432956695557,96.74
26.91230058670044,95.88
26.96099352836609,95.29
27.010327577590942,96.82
27.05971384048462,97.34
27.108978986740112,97.42
27.15882444381714,95.41
27.207672595977783,94.3
27.257084131240845,93.34
27.306756496429443,92.41
27.355314254760742,91.73
27.404767274856567,93.1
27.454441785812378,93.5
27.503557920455933,93.5
27.55272388458252,91.55
27.602161169052124,90.53
27.651527166366577,89.71
27.700676441192627,88.97
27.750227212905884,88.51
27.79937720298767,89.97
27.848700761795044,90.48
27.89844512939453,90.59
27.948013305664062,88.73
27.9970223903656,87.68
28.046104192733765,86.81
28.095405101776123,85.98
28.144705772399902,85.36
28.19454860687256,86.61
28.24372386932373,86.97
28.29377818107605,86.95
28.342441082000732,85.11
28.39186382293701,84.13
28.44118642807007,83.36
28.49058222770691,82.72
28.54039454460144,82.31
28.58981966972351,83.71
28.638543128967285,84.25
28.68798828125,84.39
28.73695135116577,82.64
28.78610873222351,81.66
28.83535075187683,80.85
28.88516879081726,80.06
28.934648036956787,79.46
28.9837384223938,80.62
29.033308267593384,80.94
29.082123517990112,80.92
29.132112741470337,79.23
29.181225538253784,78.32
29.230600118637085,77.58
29.27977442741394,76.88
29.32920503616333,76.4
29.378926515579224,77.69
29.428149700164795,78.21
29.47774910926819,78.43
29.526542901992798,77.0
29.575878381729126,76.26
29.62474036216736,75.58
29.674166679382324,74.89
29.723729610443115,74.36
29.773505926132202,75.44
29.82251524925232,75.76
29.871854782104492,75.75
29.92079758644104,74.13
29.97023868560791,73.23
30.019457817077637,72.49
30.06888723373413,71.77
30.11858081817627,71.24
30.167886972427368,72.32
30.21727418899536,72.76
30.26646399497986,72.94
30.31589126586914,71.6
30.36527919769287,70.96
30.414652824401855,70.43
30.463918924331665,69.84
30.513420343399048,69.37
30.56267476081848,70.4
30.61171555519104,70.71
30.66116714477539,70.73
30.710626363754272,69.27
30.760146617889404,68.46
30.809237480163574,67.79
30.858784914016724,67.15
30.908016204833984,66.65
30.95752501487732,67.63
31.00680923461914,68.03
31.05659246444702,68.19
31.105366706848145,66.94
31.154242038726807,66.32
31.203648328781128,65.82
31.253129959106445,65.26
31.302387475967407,64.81
31.351945877075195,65.77
